,user_id,embedding
0,0,"[0.5790695548057556, 0.3934469223022461, -0.3023165762424469, 0.7744532823562622, 0.40128567814826965, -0.7805026769638062, 0.09198416024446487, 0.39495527744293213, -0.12073536962270737, 0.34455257654190063, -0.12398496270179749, -0.02870989218354225, -0.05925314128398895, 0.7002400755882263, 0.3762998580932617, -1.0048279762268066, -0.12297224998474121, -0.032860167324543, 0.4807550311088562, 0.24760127067565918, 0.13923314213752747, -0.6834585070610046, -0.040078043937683105, -0.6462593078613281, 0.7167858481407166, -0.7317168712615967, 0.3652147054672241, -0.25584232807159424, -0.6725353002548218, 0.3047633469104767, 0.41990983486175537, -0.14002986252307892, -0.21347655355930328, 0.46460026502609253, -0.523518979549408, 0.15762022137641907, 0.4415529668331146, 0.49782678484916687, -0.28107401728630066, 0.4767906069755554, -0.31037643551826477, 0.43165552616119385, -0.2548569142818451, 0.280527800321579, 0.7524209022521973, -0.6900801062583923, 0.13392210006713867, -0.3971055746078491, -0.5562139749526978, 0.6974894404411316, 0.33854973316192627, -0.46304598450660706, -0.20177984237670898, 0.7013231515884399, 0.3096482753753662, -0.4180511236190796, -0.4973852336406708, 0.5466358065605164, -0.5000084638595581, 0.6132772564888, -0.48904821276664734, -0.37804070115089417, 0.10268653184175491, -0.5415873527526855]"
1,1,"[0.1434810757637024, 0.03678618371486664, -0.49167686700820923, 0.6374922394752502, -0.5121004581451416, -0.506677508354187, -0.3199678063392639, 0.6570643186569214, -0.009191369637846947, 0.5858535766601562, 0.3142929673194885, 0.09688529372215271, -0.19123931229114532, -0.16388177871704102, 0.4743711054325104, -0.5772088766098022, -0.15427613258361816, 0.20858532190322876, 0.04948011785745621, 0.22265715897083282, 0.16392160952091217, 0.23940688371658325, 0.27498918771743774, -0.09821158647537231, 0.5585933923721313, -0.39399707317352295, -0.2841823399066925, 0.3848643898963928, -0.05783211812376976, 0.07871325314044952, -0.3167884051799774, -0.48278066515922546, -0.2532808780670166, 0.658169150352478, -0.6184555888175964, 0.3740413188934326, -0.19269195199012756, -0.04230603948235512, -0.043940916657447815, -0.17089270055294037, -0.18525773286819458, 0.7323814630508423, 0.08193165063858032, 0.28466954827308655, 0.14801424741744995, 0.43687981367111206, 0.3645347058773041, -0.617303729057312, -0.27133798599243164, 0.008303113281726837, 0.28665897250175476, -0.3734508156776428, 0.7193432450294495, -0.3556906282901764, 0.043220020830631256, -0.5600703358650208, -0.3927101194858551, 0.25989243388175964, -0.39996448159217834, 0.44046109914779663, -0.2471875697374344, -0.4161088764667511, 0.3303491473197937, -0.6148201823234558]"
2,2,"[0.3059503138065338, 0.3957863450050354, -0.8608188033103943, 0.6166865825653076, -0.26406002044677734, -0.6506450176239014, -0.3743337094783783, 0.6814376711845398, -0.07568813860416412, 0.5725294351577759, 0.38082948327064514, 0.2951570749282837, -0.7330843210220337, 0.6909535527229309, 0.2777617573738098, 0.14816337823867798, -0.6533136367797852, 0.4880739152431488, 0.08950728178024292, 0.6364771127700806, 0.2117041051387787, -0.4476100206375122, -0.6491552591323853, -0.5879284739494324, 0.5738766193389893, -0.5528727769851685, -0.4133325219154358, 0.6858614683151245, -0.3879782557487488, 0.5025023818016052, 0.28778207302093506, -0.7584123611450195, -0.4830291271209717, 0.8194088935852051, -0.4921635389328003, 0.4168770909309387, -0.6878696084022522, 0.4764519929885864, -0.4925791621208191, -0.059548910707235336, 0.008469484746456146, 0.3829873204231262, -0.3538258671760559, 0.43869584798812866, 0.2520536482334137, -0.4203397333621979, 0.017973322421312332, -0.8899601697921753, -0.3124158978462219, 0.5281435251235962, -0.09924229979515076, -0.9105392694473267, 0.34930628538131714, 0.2535247206687927, 0.04377685859799385, 0.12086954712867737, -0.7065879702568054, 0.9897400736808777, -0.7660475969314575, 0.3810310363769531, -0.053341276943683624, 0.5132003426551819, -0.3103253245353699, -0.6270028352737427]"
3,3,"[-0.49055156111717224, -1.1555912494659424, -0.5158904194831848, 0.7006769776344299, -0.6610827445983887, -0.6078659296035767, -0.9286879301071167, 0.45657244324684143, -0.623720645904541, 0.5767039060592651, -0.04498997703194618, 0.7795340418815613, -0.6634138822555542, 0.3589102327823639, 0.49744102358818054, 0.21711069345474243, -0.35156193375587463, 0.812940776348114, 0.46039682626724243, -0.33527836203575134, 0.18845616281032562, -0.6489188075065613, -0.4835324287414551, -0.7020556926727295, 0.8487282991409302, 0.015733256936073303, -0.5186085104942322, 0.5155795812606812, -0.5948933959007263, 0.8873312473297119, 0.14663857221603394, 0.04663700610399246, -0.821704626083374, 0.1089879721403122, -0.9065724611282349, 0.7665674090385437, 0.21550476551055908, -0.061648137867450714, -1.0412752628326416, 0.05424267053604126, -0.6708778738975525, -0.8325954079627991, 0.4067856967449188, -0.5719888806343079, -0.15527060627937317, -0.6846314668655396, 0.43792417645454407, -0.6835476160049438, 0.0329010933637619, 0.842820942401886, -0.550152599811554, -0.5793591141700745, 0.43746864795684814, 0.4571911096572876, 0.119535431265831, 0.500413715839386, -0.6633440256118774, 0.842166543006897, -0.5798906087875366, 0.2691135108470917, -0.634890079498291, 0.5090878009796143, 0.26116684079170227, -0.06297804415225983]"
4,4,"[-0.11694445461034775, -0.26153457164764404, -0.5259782075881958, 0.8682057857513428, -0.8774704933166504, -0.7072931528091431, -0.9827903509140015, 0.622674822807312, -0.8794780969619751, 0.7681472301483154, -0.2330045998096466, -0.627231240272522, -0.6962039470672607, 0.18741074204444885, 0.43078166246414185, -0.33604854345321655, -0.6696009635925293, 0.46639978885650635, 0.46486908197402954, -0.3570512533187866, 0.6761022806167603, -0.8624452352523804, -0.8614407181739807, -0.8218746781349182, 0.38150784373283386, -0.6557653546333313, -0.6531021595001221, -0.336296021938324, -0.5169650316238403, -0.19015489518642426, 0.43319055438041687, -0.26931867003440857, -0.07943372428417206, 0.8529936671257019, -0.9417939782142639, 0.5437347888946533, -0.7093948125839233, 0.2576042711734772, -0.878999650478363, 0.5693600177764893, -0.5421763062477112, -0.3373176157474518, 0.763691246509552, 0.07602134346961975, -0.5632877945899963, -0.4369960427284241, -0.48708418011665344, -0.8639864325523376, 0.39292892813682556, 0.7332440614700317, -0.8342209458351135, -0.801000714302063, 0.7610757946968079, 0.8624625205993652, -0.09279816597700119, 0.028925523161888123, -0.7067416906356812, 0.8330748677253723, -0.7522104382514954, 0.3279304802417755, -0.8239911198616028, 0.5344510674476624, -0.6242738962173462, -0.9003803730010986]"
5,5,"[-0.06621883809566498, 0.36134397983551025, -0.5828548669815063, 0.7105890512466431, -0.509414792060852, -0.605219841003418, -0.4893574118614197, 0.7755955457687378, 0.3750741183757782, 0.7137801647186279, -0.728298544883728, 0.2527323365211487, -0.8672161102294922, 0.8464822173118591, 0.502233624458313, -0.37222200632095337, -0.7759432196617126, 0.4834383726119995, 0.33058029413223267, -0.01744738221168518, 0.27877116203308105, 0.1250101923942566, 0.05423155799508095, -0.18417862057685852, 0.7345346212387085, -0.5074527263641357, -0.12022750824689865, -0.2736211121082306, 0.007741212844848633, -0.24926668405532837, -0.21240919828414917, -0.9097081422805786, -0.4246373772621155, 0.5823718905448914, -0.277170866727829, 0.2588913142681122, 0.2656138837337494, -0.28002068400382996, 0.45841819047927856, 0.19779302179813385, 0.010514717549085617, 0.36153644323349, -0.23671749234199524, 0.08408146351575851, 0.7297226190567017, 0.5748291611671448, 0.12722307443618774, -0.6897057294845581, 0.525842010974884, -0.101496122777462, -0.38198962807655334, -0.4829234778881073, 0.7480334639549255, -0.4544743001461029, 0.6080154776573181, 0.2037927657365799, -0.6237335801124573, 0.6578603386878967, -0.7285780310630798, 0.1885528862476349, -0.600553035736084, 0.0023451028391718864, -0.11803273111581802, -0.6799708008766174]"
6,6,"[0.15082372725009918, 0.41034507751464844, -0.8460413813591003, 0.6535954475402832, -0.5402747392654419, -0.25894683599472046, -0.6003612279891968, 0.25331491231918335, -0.30235785245895386, 0.5027702450752258, 0.014369390904903412, 0.3430624306201935, -0.1922878921031952, 0.413860946893692, 0.40155041217803955, 0.20974913239479065, 0.19844576716423035, -0.3056485652923584, 0.3278430104255676, -0.1540052741765976, 0.4535357654094696, 0.3849276006221771, -0.41286835074424744, -0.23636314272880554, 0.20055274665355682, -0.7213565111160278, -0.5987358093261719, -0.004222854971885681, -0.09538734704256058, 0.33863338828086853, -0.2155759483575821, -0.7218818664550781, -0.7386486530303955, 0.8885608911514282, -0.6190743446350098, 0.18026158213615417, -0.3646658658981323, -0.605164110660553, 0.22154203057289124, -0.21509414911270142, -0.05002301186323166, 0.927586555480957, -0.20062969624996185, 0.4185525178909302, -0.21190309524536133, 0.5398961305618286, 0.7047247290611267, -0.9139108657836914, -0.3216080069541931, 0.25748398900032043, 0.28549259901046753, -0.7147842645645142, 0.3750312924385071, 0.036981649696826935, 0.3454415202140808, 0.15183115005493164, -0.40077391266822815, 0.630729615688324, -0.5730395317077637, 0.6116708517074585, 0.2554030418395996, 0.4546358585357666, 0.31593427062034607, -0.6067227125167847]"
7,7,"[0.46154195070266724, 0.3679390251636505, -0.6127782464027405, -0.02995692938566208, -0.40774068236351013, -0.548126220703125, -0.057673923671245575, 0.45192599296569824, -0.45622432231903076, 0.34709155559539795, 0.05662590265274048, 0.5705071687698364, -0.585515022277832, -0.1852407157421112, -0.07020211219787598, 0.3700960576534271, -0.28512781858444214, 0.3950136601924896, -0.014768056571483612, 0.32678914070129395, 0.17131668329238892, -0.23785215616226196, -0.6741561889648438, -0.22199591994285583, 0.5700581073760986, -0.01835494488477707, -0.6182774901390076, 0.2458958923816681, -0.2991238832473755, 0.5094215273857117, -0.1148129552602768, -0.1494322270154953, -0.7036920189857483, 0.6148581504821777, -0.5436134338378906, 0.47188425064086914, -0.4219427704811096, 0.6002967953681946, -0.5187680721282959, 0.2275296300649643, -0.42659080028533936, 0.20548632740974426, -0.1268990933895111, 0.12215489894151688, -0.22924944758415222, 0.24152591824531555, 0.20902420580387115, -0.4809844195842743, 0.17656904458999634, -0.38308587670326233, -0.24260662496089935, -0.611680805683136, 0.5856320858001709, 0.5675062537193298, 0.6094937324523926, -0.2961044907569885, -0.3093562126159668, 0.45208361744880676, -0.37904149293899536, 0.4067894220352173, -0.244573175907135, 0.12072736024856567, 0.19477733969688416, -0.5190891027450562]"
8,8,"[0.4960533380508423, -0.49365249276161194, -0.5763468742370605, 0.19482433795928955, -0.39714497327804565, -0.6714522838592529, -0.6133867502212524, 0.5764228701591492, -0.3151784837245941, 0.5210240483283997, 0.07416430860757828, 0.5097243785858154, -0.7975229024887085, 0.31932681798934937, 0.4907885789871216, -0.30237507820129395, -0.38290613889694214, 0.3220806121826172, 0.2817766070365906, 0.15588340163230896, 0.5689087510108948, -0.04525943100452423, -0.12043163180351257, -0.4054247736930847, 0.44156402349472046, -0.4494324028491974, -0.6025460362434387, 0.28292274475097656, -0.4746352434158325, 0.4761066436767578, -0.5670228004455566, -0.5903723239898682, -0.11407141387462616, 0.7372875213623047, -0.7669847011566162, 0.3500121235847473, -0.581548273563385, 0.20457357168197632, 0.1961050033569336, 0.3596877455711365, -0.41710948944091797, 0.16106320917606354, 0.10811054706573486, 0.7727710008621216, -0.11428017169237137, -0.12037979066371918, -0.042708948254585266, -0.660688042640686, 0.036646466702222824, 0.4952007532119751, -0.3104550540447235, -0.6263337731361389, -0.228046715259552, 0.6567890048027039, 0.1500796228647232, -0.641229510307312, -0.5532674789428711, 0.6344039440155029, -0.5921027660369873, 0.4045049250125885, -0.21288034319877625, 0.03355064243078232, -0.33124294877052307, -0.3092705011367798]"
9,9,"[0.11170348525047302, 0.04035254195332527, -0.35653775930404663, -0.19109436869621277, -0.29503312706947327, -0.558934211730957, -0.6156896352767944, 0.40286263823509216, 0.22843439877033234, 0.6924997568130493, 0.16087515652179718, -0.35341984033584595, -0.6938027143478394, 0.34552621841430664, 0.5084385871887207, -0.2064397931098938, -0.6025175452232361, 0.028446849435567856, 0.6252835392951965, 0.2832711338996887, 0.07336823642253876, 0.5009585022926331, 0.1248745322227478, -0.43289801478385925, 0.7054312229156494, -0.525274395942688, -0.14456143975257874, 0.6674673557281494, -0.40620696544647217, 0.11044548451900482, -0.3739393353462219, -0.706380307674408, -0.5889052152633667, 0.8536125421524048, -0.4139111042022705, 0.24087855219841003, -0.5810357928276062, -0.04537644982337952, -0.018048249185085297, -0.3099796772003174, -0.22295677661895752, 0.601111650466919, -0.0526779405772686, 0.5721490979194641, -0.23967894911766052, 0.29737162590026855, 0.5205080509185791, -0.5830473303794861, 0.4092296361923218, 0.5275619029998779, 0.49671173095703125, -0.6160504817962646, 0.5855813026428223, -0.061802081763744354, 0.5998904705047607, -0.12006334960460663, -0.4689318537712097, 0.5902023315429688, -0.4442836344242096, 0.614059567451477, 0.08497033268213272, -0.7323898077011108, -0.378907173871994, -0.6378973722457886]"
