user_id,embedding
2646,"[0.6572920083999634, 0.15672466158866882, 0.33832255005836487, 0.325000137090683, -0.4610214829444885, -0.7407351136207581, -0.4300018548965454, 0.9018204212188721, -0.8658207654953003, 0.39035582542419434, -0.4613429307937622, 0.39256051182746887, 0.33248379826545715, 0.5560208559036255, -0.48190808296203613, -0.6325142979621887, -0.3043866753578186, 0.7999643087387085, 0.8121858835220337, 0.26557376980781555, -0.5385809540748596, 0.6563564538955688, -0.28009843826293945, -0.31573835015296936, 0.8862214088439941, -0.6779614090919495, 0.8513379096984863, 0.9011498093605042, -0.6169494390487671, 0.5223842263221741, -0.617669939994812, 0.2979173958301544, -0.5459513664245605, -0.23397429287433624, -0.15455809235572815, -0.2843017578125, 0.4777389466762543, -0.4130518436431885, -0.7467969655990601, 0.00833272933959961, -0.5062593817710876, 0.21577319502830505, 0.6059224009513855, 0.6358694434165955, 0.3646848201751709, 0.4163477420806885, -0.23785606026649475, 0.3258567452430725, -0.03926166892051697, -0.4307735860347748, 0.33720633387565613, -0.5335872769355774, -0.7283321619033813, 0.6083489060401917, -0.2991810441017151, 0.7397952079772949, -0.030406344681978226, 0.3941766619682312, -0.11661302298307419, 0.7200967073440552, 0.1655668318271637, -0.49464136362075806, 0.31074896454811096, -0.5686286687850952]"
2647,"[0.19685906171798706, 0.19958846271038055, -0.35273686051368713, -0.0762874037027359, 0.1902056783437729, -0.3011414706707001, -0.34367334842681885, -0.11754150688648224, -0.3489324152469635, 0.02582123875617981, -0.001914791762828827, -0.45763081312179565, 0.17526036500930786, -0.1182071790099144, 0.09212642163038254, 0.16127099096775055, -0.09226778149604797, 0.10441561043262482, -0.37684404850006104, -0.17528977990150452, -0.040887221693992615, 0.4398924708366394, -0.03417575731873512, 0.22830647230148315, -0.18986783921718597, 0.4840296506881714, -0.2761439383029938, -0.35006949305534363, 0.26524806022644043, -0.06432811170816422, 0.5532847046852112, 0.29582643508911133, 0.19402632117271423, 0.526557207107544, 0.1493414044380188, 0.047815658152103424, -0.5013190507888794, -0.1765594184398651, 0.3873789310455322, -0.12726947665214539, 0.11905333399772644, 0.11647342890501022, -0.1804495006799698, 0.37799590826034546, -0.05109748989343643, -0.047304242849349976, 0.3047943711280823, -0.07780322432518005, 0.5553579330444336, 0.12862376868724823, 0.48911774158477783, -0.30962470173835754, 0.2043459266424179, -0.08660517632961273, 0.05359353870153427, -0.13248412311077118, -0.44855767488479614, -0.12673898041248322, 0.1771087348461151, -0.30520448088645935, -0.5375410318374634, 0.1331074982881546, -0.17391927540302277, -0.1445491760969162]"
2648,"[0.9223682284355164, 0.9159852862358093, 0.566175639629364, -0.039576612412929535, 0.5797150731086731, -0.927771270275116, -0.6832048892974854, 0.7170456647872925, -0.7615291476249695, 0.5782645344734192, -0.7039808034896851, -0.3136829733848572, -0.5882318019866943, 0.8060500621795654, -0.7280641794204712, 0.06595613807439804, -0.3031556010246277, 0.2799080014228821, 0.8281069993972778, 0.3690941333770752, -0.7221790552139282, 0.7149698734283447, 0.6971089839935303, -0.3045165538787842, 0.5815469026565552, -0.8900998830795288, -0.32987716794013977, 0.2522451877593994, -0.38307279348373413, -0.7715798020362854, -0.48148736357688904, 0.7101961970329285, -0.9643747806549072, -0.5343976616859436, 0.029432952404022217, -0.8262444734573364, 0.15312451124191284, -0.742229163646698, -0.0018945075571537018, 0.6317170858383179, 0.5766222476959229, 0.5815607309341431, -0.6362541317939758, 0.6440987586975098, -0.09211035072803497, 0.03554490953683853, -0.47875797748565674, -0.4000275135040283, 0.9861119985580444, 0.9502512216567993, 0.3101905584335327, -0.08023527264595032, -0.4721597731113434, 0.8139006495475769, 0.4085499048233032, 0.2515334486961365, 0.35645827651023865, -0.7469568252563477, 0.4276406764984131, -0.6777826547622681, -0.47949156165122986, 1.0074862241744995, -0.5675875544548035, -0.8550178408622742]"
2649,"[0.5820931792259216, 0.3440314531326294, -0.12231512367725372, -0.14453814923763275, 0.31944742798805237, -0.48484379053115845, -0.36254552006721497, -0.09425923228263855, -0.05477084219455719, -0.24417637288570404, -0.1598901003599167, -0.28070393204689026, -0.48317378759384155, 0.15251904726028442, -0.03782567381858826, 0.22340384125709534, 0.2665054500102997, -0.14943309128284454, 0.28057754039764404, 0.0510544627904892, 0.17726992070674896, -0.08274255692958832, 0.5480606555938721, -0.07558491080999374, -0.06508936733007431, 0.32532548904418945, 0.040315598249435425, -0.053138576447963715, 0.38092517852783203, -0.41253623366355896, 0.5552054643630981, -0.3239538073539734, -0.2218361347913742, 0.17796772718429565, -0.38219213485717773, -0.5105918049812317, -0.5333121418952942, -0.0014342963695526123, -0.15072572231292725, 0.28981834650039673, 0.059475868940353394, -0.030831193551421165, -0.05323213338851929, -0.3633840084075928, 0.09857285022735596, 0.02805488370358944, 0.3593290150165558, -0.378354549407959, 0.6804138422012329, 0.32786867022514343, -0.11277750134468079, 0.08887536823749542, -0.17657364904880524, 0.3467702269554138, 0.34151342511177063, 0.19336554408073425, -0.44436487555503845, -0.12244716286659241, -0.25357192754745483, -0.04439318925142288, 0.060654595494270325, 0.6662172675132751, -0.015427663922309875, -0.6309722661972046]"
2650,"[0.16427525877952576, 0.21083538234233856, 0.31124383211135864, 0.0694880560040474, 0.48065707087516785, -0.3342429995536804, -0.6916733384132385, 0.3653271198272705, -0.3135520815849304, -0.8043188452720642, -0.969167947769165, 0.3266923427581787, -0.07033069431781769, 0.5297626256942749, -0.313684344291687, -0.3870565891265869, 0.03947460651397705, 0.0014166571199893951, 0.517010509967804, 0.5783001184463501, -0.26994967460632324, 0.7279921770095825, 0.6543687582015991, -0.5090750455856323, 0.9521909356117249, -0.6632328629493713, -0.9668736457824707, -0.5905065536499023, 0.2510078251361847, -0.3432597517967224, -0.18451793491840363, 0.7590937614440918, -1.0111292600631714, 0.6387156844139099, -0.7313891053199768, -0.9418838620185852, -0.6151444315910339, -0.4120056629180908, 0.8412706255912781, 0.276307612657547, 0.39696061611175537, 0.03875861316919327, 0.3455640971660614, -0.13861143589019775, 0.05921657383441925, -0.4072255492210388, -0.24745847284793854, -0.2715115547180176, 0.789827287197113, 0.15596997737884521, 1.1052266359329224, -0.36777907609939575, -0.2676162123680115, 0.6144102811813354, -0.26857489347457886, 0.14075350761413574, -0.7125235795974731, -0.5850229263305664, -0.7058197259902954, -0.4010096788406372, -0.16724343597888947, 1.032771348953247, 0.5392522811889648, -0.7712394595146179]"
2651,"[-0.20818695425987244, 0.22295033931732178, 0.3710581362247467, 0.49466007947921753, 0.10675974935293198, 0.4333934783935547, -0.03209708258509636, 0.5502783060073853, 0.40177828073501587, -0.6805910468101501, -0.8002438545227051, -0.3616097867488861, -0.17273177206516266, 0.2688836455345154, 0.3768100440502167, -0.28597956895828247, 0.13134682178497314, -0.3251707851886749, -0.34625738859176636, 0.45482373237609863, -0.11303062736988068, 0.6162101626396179, -0.00936051644384861, -0.4498315751552582, -0.4729779362678528, 0.11398810148239136, -0.3061598837375641, -0.3654998540878296, 0.2756030857563019, 0.22419936954975128, 0.6463910937309265, 0.4577570855617523, -0.6703323125839233, 0.5427170991897583, -0.7542962431907654, -0.8422128558158875, -0.543061375617981, -0.7515445947647095, 0.3997073173522949, -0.4106253683567047, -0.7032625675201416, 0.5683481693267822, 0.5291658639907837, 0.6705231666564941, 0.6277745962142944, -0.07035397738218307, -0.440057635307312, 0.07272955030202866, 0.7744507193565369, -0.023380015045404434, 0.5962405204772949, -0.6755812168121338, 0.2853015959262848, 0.5448607206344604, 0.1924426257610321, -0.2457963079214096, -0.688866138458252, 0.6498637199401855, 0.07753950357437134, 0.4646010398864746, -0.6350027322769165, 0.9624933004379272, 0.6008827686309814, -0.6721460819244385]"
2652,"[0.7103272080421448, 0.48193326592445374, 0.0016831755638122559, -0.42383721470832825, 0.5594595670700073, -0.497688353061676, -0.4557579457759857, 0.4208545684814453, -0.2667483985424042, 0.42970559000968933, -0.3018314242362976, -0.030256837606430054, -0.29727548360824585, 0.27172309160232544, -0.37720245122909546, 0.0667237639427185, -0.10344288498163223, -0.29485809803009033, 0.5291726589202881, 0.44887691736221313, 0.11515916883945465, 0.17653852701187134, 0.6827449202537537, -0.10069489479064941, 0.5044627785682678, 0.021514222025871277, -0.5982125997543335, 0.003549572080373764, -0.29110243916511536, -0.32750704884529114, 0.253620982170105, -0.2281818389892578, -0.7265979051589966, 0.05884973332285881, -0.4660952687263489, -0.45515942573547363, 0.1514415144920349, -0.39032506942749023, 0.055974505841732025, -0.008441142737865448, -0.1995912492275238, 0.4221579134464264, 0.007115520536899567, -0.2122631072998047, 0.0308268703520298, 0.05313071981072426, -0.044091932475566864, -0.5891062617301941, 0.7197275161743164, 0.6194581389427185, 0.718614399433136, -0.33736854791641235, 0.1791711300611496, 0.22939914464950562, 0.12078269571065903, 0.43704062700271606, -0.38804271817207336, 0.144095778465271, 0.6263044476509094, -0.2375965416431427, 0.4884417951107025, 0.5825809836387634, -0.23007923364639282, -0.6948978900909424]"
2653,"[0.634393036365509, -0.28927698731422424, 0.5905900597572327, 0.4115065634250641, 0.789901614189148, 0.3074015974998474, 0.039026860147714615, 0.7537205219268799, -0.05892059579491615, 0.05065442621707916, -0.7308850288391113, 0.09019093215465546, 0.5958766937255859, 0.7537423372268677, 0.3924647569656372, -0.6226418018341064, -0.6499149799346924, -0.33432430028915405, 0.7807031273841858, 0.6502293348312378, 0.0015752539038658142, 0.5090466737747192, -0.22637370228767395, -0.398095965385437, -0.008008696138858795, -0.25056493282318115, -0.23745758831501007, 0.513885498046875, -0.7683687210083008, 0.6054412722587585, -0.575910747051239, -0.23573486506938934, -0.5130308270454407, -0.424349308013916, -0.3263840675354004, -0.4433404803276062, -0.6391091346740723, -0.780414342880249, -0.13734637200832367, -0.077857606112957, -0.4247111678123474, -0.49193841218948364, 0.48799580335617065, 0.7094281911849976, 0.6406482458114624, -0.08615986257791519, -0.21822397410869598, -0.14978884160518646, 0.27021509408950806, -0.016943862661719322, 0.7269752025604248, -0.6589885950088501, 0.43839719891548157, 0.11045718938112259, 0.23878006637096405, 0.5936927795410156, -0.6001242995262146, 0.3277003765106201, 0.3844369947910309, 0.4311135411262512, 0.5563613176345825, 0.11598599702119827, 0.6480298042297363, -0.5486736297607422]"
2654,"[0.4455588757991791, 0.015498675405979156, 0.538925290107727, 0.09456220269203186, 0.5524261593818665, -0.7705729007720947, -0.9554039239883423, 0.6588050127029419, -1.0462617874145508, 0.687493622303009, -0.1463949978351593, 0.0703798159956932, 0.3185422122478485, 0.9213025569915771, -0.9248763918876648, -0.11281748116016388, -0.4359551966190338, 0.4324233829975128, 0.930232048034668, 0.8011940121650696, -0.7483881711959839, 0.21802379190921783, 0.7801552414894104, -0.2185697704553604, 0.9514584541320801, 0.2707880139350891, -0.5819956660270691, -0.3079455494880676, -0.597909152507782, -0.1524704098701477, -0.19301803410053253, -0.5611617565155029, -0.8338106870651245, 0.3456629514694214, -0.6465034484863281, -0.734018862247467, 0.44916412234306335, -0.39533334970474243, 0.2886042594909668, 0.6740952730178833, 0.6293491721153259, -0.774967610836029, -0.26568689942359924, -0.3001185357570648, 0.1899477243423462, -0.14961589872837067, -0.5981985926628113, -0.9458972215652466, 1.1425788402557373, 0.6685025691986084, 1.0510344505310059, -0.8679437041282654, 0.31569135189056396, 0.5552002191543579, 0.46584439277648926, 0.41216468811035156, -0.12144266068935394, -0.6440577507019043, 0.024648629128932953, -0.5108166337013245, -0.503140926361084, 0.904576301574707, -0.21964909136295319, -1.0004026889801025]"
2655,"[0.0745733231306076, -0.13874369859695435, -0.04011046141386032, 0.0195570457726717, 0.1324790120124817, -0.05167914181947708, 0.022547423839569092, -0.09214439243078232, 0.011078324168920517, 0.1892157644033432, 0.2264399230480194, -0.07092072069644928, 0.19550415873527527, -0.13852481544017792, 0.0834365040063858, 0.12051129341125488, -0.005539696663618088, 0.033964432775974274, -0.07907244563102722, -0.16611362993717194, 0.11353792995214462, -0.03132481500506401, 0.006142882164567709, 0.13065893948078156, -0.03175662085413933, 0.07830402255058289, 0.1970738023519516, -0.028587207198143005, 0.0007618572562932968, 0.05573219805955887, -0.054026998579502106, -0.20907655358314514, 0.16971026360988617, 0.11899898946285248, 0.12406976521015167, 0.194487527012825, 0.09212442487478256, 0.1109318882226944, -0.07063808292150497, -0.06462439149618149, 0.10615751892328262, -0.22251643240451813, -0.1542622298002243, -0.13310883939266205, -0.18037013709545135, -0.0653131827712059, 0.1517404168844223, -0.0743214413523674, -0.13704673945903778, -0.08391712605953217, -0.11765234172344208, 0.06893089413642883, 0.16676296293735504, -0.20939955115318298, 0.10378523170948029, -0.10420852899551392, 0.21481087803840637, -0.08308511972427368, 0.11888763308525085, -0.06893312931060791, -0.04637717455625534, -0.25043830275535583, -0.11141031235456467, -0.01026142667979002]"
